log_A_recup,probability density
-1.7078879367533066,3.057834319644553e-05
-1.6752216393486534,0.0
-1.6425553419440002,0.0
-1.609889044539347,0.0
-1.5772227471346936,0.0001528917159822266
-1.5445564497300404,9.17350295893366e-05
-1.5118901523253871,0.0002140484023751187
-1.479223854920734,0.0002140484023751187
-1.4465575575160807,0.00033636177516090083
-1.4138912601114275,0.0008561936095004748
-1.3812249627067743,0.0014066037870364848
-1.3485586653021209,0.002018170650965405
-1.3158923678974677,0.0032718827220196717
-1.2832260704928145,0.006023933609699769
-1.2505597730881612,0.008500779408611856
-1.217893475683508,0.01388256781118627
-1.1852271782788548,0.021924672071851444
-1.1525608808742016,0.03391138260485809
-1.1198945834695484,0.054307137516887254
-1.0872282860648952,0.07916733053559746
-1.054561988660242,0.1142406901819205
-1.0218956912555885,0.16243215905951755
-0.9892293938509353,0.22175414486062298
-0.9565630964462821,0.29150334569171527
-0.9238967990416289,0.36302609042820133
-0.8912305016369757,0.45317104617132276
-0.8585642042323225,0.5439581471215676
-0.8258979068276692,0.6468542719776087
-0.793231609423016,0.7310364507974233
-0.7605653120183626,0.8266243516295092
-0.7278990146137094,0.916402367254276
-0.6952327172090562,1.006853106429362
-0.662566419804403,1.0888030661958361
-0.6299001223997498,1.171242279453453
-0.5972338249950966,1.2385146344856333
-0.5645675275904434,1.2955738228902005
-0.53190123018579,1.337190947980554
-0.49923493278113673,1.3800617851419796
-0.4665686353764835,1.39476996821947
-0.4339023379718303,1.4073988239596018
-0.4012360405671771,1.3916509772134324
-0.3685697431625239,1.3865138155564296
-0.3359034457578707,1.340279360643404
-0.30323714835321736,1.2939837490439765
-0.27057085094856403,1.2297998066746463
-0.23790455354391082,1.1492564506952088
-0.2052382561392576,1.0587751331769264
-0.1725719587346044,0.9576219738830847
-0.1399056613299512,0.8519126414529725
-0.10723936392529798,0.7315257042885663
-0.07457306652064477,0.6140131313846263
-0.04190676911599156,0.49830468072927636
-0.009240471711338238,0.37944666072468997
0.023425825693315083,0.28599924391635506
0.056092123097968294,0.2052418395345424
0.0887584205026215,0.14041575195807787
0.12142471790727472,0.09467055053619536
0.15409101531192793,0.0622575067479631
0.18675731271658114,0.042717945445434405
0.21942361012123446,0.02489077136190649
0.2520899075258878,0.015533798343794328
0.284756204930541,0.010549528402773707
0.3174225023351942,0.008378466035826074
0.3500887997398474,0.004556173136270384
0.3827550971445006,0.003791714556359246
0.41542139454915383,0.0027520508876800976
0.44808769195380704,0.0017123872190009496
0.48075398935846025,0.001895857278179623
0.5134202867631135,0.0009173502958933658
0.5460865841677667,0.0009479286390898115
0.5787528815724199,0.0008867719526969203
0.6114191789770731,0.000519831834339574
0.6440854763817265,0.0004280968047502316
0.67675177378638,0.0004280968047502374
0.7094180711910332,0.0003669401183573464
0.7420843685956864,0.0003057834319644553
0.7747506660003396,0.00024462674557156424
0.8074169634049928,0.00012231337278578212
0.840083260809646,0.00012231337278578212
0.8727495582142992,0.00012231337278578212
0.9054158556189524,0.00015289171598222766
0.9380821530236056,0.0001834700591786732
0.9707484504282589,0.00012231337278578212
1.003414747832912,6.115668639289106e-05
1.0360810452375653,6.115668639289106e-05
1.0687473426422185,3.057834319644553e-05
1.1014136400468717,9.17350295893366e-05
1.1340799374515251,0.0
1.1667462348561786,0.0
1.1994125322608318,6.115668639289106e-05
1.232078829665485,3.057834319644553e-05
1.2647451270701382,3.057834319644553e-05
1.2974114244747914,3.057834319644553e-05
1.3300777218794446,3.057834319644553e-05
1.3627440192840978,0.0
1.395410316688751,3.057834319644553e-05
1.4280766140934043,0.0
1.4607429114980575,3.057834319644553e-05
1.4934092089027107,0.0
1.526075506307364,6.115668639289023e-05
