log_A_recup_LT,cumulative probability
-3.17436035604197,1.9967413181687485e-06
-3.1329443898718883,3.993482636337497e-06
-3.0915284237018064,4.991853295421872e-06
-3.050112457531725,8.985335931759369e-06
-3.0086964913616434,2.2962525158940607e-05
-2.967280525191561,4.5925050317881214e-05
-2.9258645590214796,7.787291140858119e-05
-2.884448592851398,0.00014875722820357177
-2.843032626681316,0.00026556659531644356
-2.8016166605112343,0.0004083335995655091
-2.760200694341153,0.000611002843359637
-2.7187847281710713,0.0009614309446982524
-2.677368762000989,0.0014236765598543179
-2.6359527958309075,0.002007723395418677
-2.594536829660826,0.002802426440049839
-2.5531208634907436,0.0039056260183380725
-2.511704897320662,0.005229465512283953
-2.4702889311505807,0.006977612536340693
-2.4288729649804988,0.00918401169291716
-2.387456998810417,0.011893589661672152
-2.3460410326403354,0.015188212836650587
-2.304625066470254,0.019271548832305675
-2.2632091003001715,0.024038768729433564
-2.22179313413009,0.02969953036644197
-2.1803771679600086,0.03643354046196608
-2.138961201789926,0.04408505319318872
-2.0975452356198447,0.05307238586626626
-2.0561292694497633,0.0633695808440625
-2.014713303279682,0.07471806012587458
-1.9732973371095996,0.08760303185201751
-1.931881370939518,0.1020494552889684
-1.890465404769436,0.11776480783361554
-1.8490494385993546,0.13515442797354715
-1.8076334724292726,0.15416440369317272
-1.766217506259191,0.17464098591099322
-1.7248015400891092,0.1968058129133254
-1.6833855739190273,0.2203643653557394
-1.6419696077489458,0.2452237947669403
-1.600553641578864,0.27186331906328864
-1.5591376754087822,0.2996929011852656
-1.5177217092387005,0.32904899204498256
-1.4763057430686186,0.3599285965304623
-1.4348897768985371,0.39201622951343407
-1.3934738107284552,0.42539974761189736
-1.3520578445583737,0.4594042522603111
-1.3106418783882918,0.49455788153733105
-1.26922591221821,0.5305381617200728
-1.2278099460481284,0.5666552186831092
-1.1863939798780465,0.6026814239161689
-1.1449780137079648,0.639245750934475
-1.1035620475378831,0.6746829174786748
-1.0621460813678014,0.7093603239513114
-1.0207301151977197,0.7431621593559311
-0.979314149027638,0.775498386633015
-0.9378981828575561,0.8059866298201336
-0.8964822166874744,0.8342724673333121
-0.8550662505173927,0.8605445912271174
-0.813650284347311,0.884182014951599
-0.7722343181772293,0.9054592904380052
-0.7308183520071474,0.9242406392767004
-0.6894023858370657,0.9403423612664132
-0.647986419666984,0.9539381729018243
-0.6065704534969023,0.9654274224465672
-0.5651544873268206,0.9746483738538705
-0.5237385211567387,0.9818805709082777
-0.482322554986657,0.9874634596338776
-0.4409065888165753,0.9915877288265551
-0.3994906226464936,0.9945179467109677
-0.3580746564764119,0.9964747532027731
-0.31665869030633,0.9978145666272643
-0.2752427241362483,0.9987360627455992
-0.2338267579661666,0.9992262627392097
-0.1924107917960849,0.999537754384844
-0.1509948256260032,0.9997224529567746
-0.10957885945592127,0.9998162997987285
-0.06816289328583958,0.9998831906328872
-0.02674692711575788,0.9999131417526598
0.014669039054323818,0.9999351059071596
0.056085005224405515,0.9999430928724323
0.09750097139448743,0.9999580684323186
0.13891693756456913,0.9999700488802277
0.18033290373465083,0.9999760391041822
0.22174886990473253,0.9999810309574776
0.2631648360748142,0.9999830276987958
0.3045808022448959,0.9999870211814321
0.3459967684149776,0.9999900162934093
0.38741273458505954,0.9999920130347275
0.42882870075514123,0.9999930114053865
0.47024466692522293,0.9999950081467047
0.5116606330953046,0.9999970048880229
0.5530765992653863,0.9999970048880229
0.5944925654354682,0.9999970048880229
0.6359085316055499,0.9999980032586819
0.6773244977756316,0.9999980032586819
0.7187404639457133,0.9999980032586819
0.760156430115795,0.999999001629341
0.801572396285877,0.999999001629341
0.8429883624559587,0.999999001629341
0.8844043286260401,0.999999001629341
0.9258202947961223,1.0
