log_A_evap_LT,probability density
-1.4768942376365835,1.7886063111447012e-05
-1.4210758247411048,0.0
-1.3652574118456258,1.7886063111447012e-05
-1.3094389989501471,5.365818933434103e-05
-1.253620586054668,0.00010731637866868206
-1.1978021731591895,0.0001430885048915761
-1.1419837602637104,0.0002682909466717052
-1.0861653473682318,0.00042926551467472825
-1.0303469344727527,0.0011625941022440558
-0.974528521577274,0.0016991759955874662
-0.9187101086817951,0.0033804659280634855
-0.8628916957863163,0.005115414049873846
-0.8070732828908375,0.007762551390368003
-0.7512548699953586,0.013414547333585259
-0.6954364570998798,0.020014504621709207
-0.6396180442044009,0.02920794106099297
-0.5837996313089221,0.041942817996343244
-0.5279812184134433,0.05911343858333237
-0.4721628055179644,0.08113118227352364
-0.41634439262248557,0.10638630338688683
-0.36052597972700673,0.1390999128177234
-0.3047075668315279,0.17118751003965935
-0.24888915393604905,0.21833517240143369
-0.1930707410405702,0.2692567940797233
-0.13725232814509136,0.3213231237971456
-0.08143391524961252,0.3758040720346132
-0.02561550235413368,0.4382085462304518
0.030202910541345163,0.5104145830113634
0.086021323436824,0.5753588781690275
0.14183973633230285,0.6338999627327936
0.1976581492277817,0.7014556231047289
0.25347656212326053,0.7596211003431546
0.30929497501873937,0.8245475094377074
0.3651133879142182,0.872392728260828
0.42093180080969705,0.903800655084529
0.4767502137051759,0.9282330172947656
0.5325686266006548,0.9346541139517713
0.5883870394961337,0.9214363133124195
0.6442054523916123,0.902494972477397
0.7000238652870912,0.8556871453147331
0.7558422781825702,0.8008484758150368
0.8116606910780491,0.7313968927532941
0.8674791039735277,0.6557209597287615
0.9232975168690065,0.575430422421471
0.9791159297644856,0.4904537365789866
1.0349343426599644,0.40705102429031276
1.090752755555443,0.3312856609502229
1.1465711684509219,0.27319172796424057
1.202389581346401,0.2159384399444989
1.2582079942418798,0.17091921909298832
1.3140264071373584,0.13512920680698273
1.3698448200328373,0.10449038069707303
1.4256632329283163,0.08399295237135483
1.4814816458237952,0.06360284042430582
1.5373000587192738,0.049902116080937364
1.5931184716147526,0.04117371728255086
1.6489368845102317,0.03198028084326713
1.7047552974057105,0.02588113332226393
1.7605737103011891,0.0208551495879473
1.816392123196668,0.01590071010607633
1.872210536092147,0.011965776221558004
1.928028948987626,0.009944651089964578
1.9838473618831045,0.008424335725491576
2.0396657747785834,0.0067072736667926035
2.0954841876740624,0.004596718219641863
2.151302600569541,0.00386338963207257
2.20712101346502,0.003344693801840605
2.2629394263604987,0.0030227446658345333
2.318757839255978,0.0017707202480332473
2.3745762521514564,0.0017170620586989202
2.4303946650469355,0.0011804801653555075
2.486213077942414,0.0010195055973524756
2.542031490837893,0.0007869867769036655
2.597849903733372,0.00046503764089762047
2.653668316628851,0.0006438982720121002
2.7094867295243295,0.0005008097671205144
2.7653051424198085,0.0003398351991174919
2.821123555315287,0.00025040488356026117
2.8769419682107658,0.00017886063111446942
2.932760381106245,0.00014308850489157552
2.988578794001724,7.154425244578776e-05
3.044397206897203,0.00017886063111446942
3.1002156197926816,8.943031555723612e-05
3.15603403268816,3.577212622289388e-05
3.2118524455836392,7.154425244578776e-05
3.267670858479118,1.7886063111447225e-05
3.3234892713745965,3.577212622289388e-05
3.3793076842700756,3.577212622289388e-05
3.4351260971655546,0.0
3.4909445100610337,1.788606311144694e-05
3.5467629229565123,3.577212622289445e-05
3.602581335851991,0.0
3.65839974874747,0.0
3.7142181616429486,1.7886063111447225e-05
3.770036574538427,1.788606311144694e-05
3.8258549874339063,0.0
3.8816734003293853,0.0
3.9374918132248644,0.0
3.993310226120343,0.0
4.049128639015821,1.788606311144694e-05
