log_A_evap_MT,cumulative probability
-1.8168472982190358,1.9954503731492198e-06
-1.790248913011499,4.98862593287305e-06
-1.763650527803962,1.4965877798619148e-05
-1.7370521425964252,2.7936305224089077e-05
-1.7104537573888883,4.2902183022708226e-05
-1.6838553721813514,8.680209123199106e-05
-1.6572569869738145,0.00014766332761304227
-1.6306586017662776,0.00023845631959133176
-1.6040602165587408,0.0004060741509358662
-1.5774618313512039,0.0006205850660494074
-1.550863446143667,0.0009109230953426189
-1.5242650609361301,0.0013549108033683204
-1.4976666757285932,0.001941573213074191
-1.4710682905210564,0.0027357624615875803
-1.4444699053135195,0.003728499022229317
-1.4178715201059826,0.0049756555054475795
-1.3912731348984457,0.006572015803966955
-1.3646747496909089,0.00847966636069761
-1.338076364483372,0.010896156762581315
-1.311477979275835,0.013795546154767132
-1.2848795940682982,0.017205770842479148
-1.2582812088607613,0.021250548748852616
-1.2316828236532245,0.025777227920341622
-1.2050844384456876,0.03092548988306661
-1.1784860532381507,0.03669633236221415
-1.1518876680306138,0.043308257173644095
-1.125289282823077,0.050593646486011896
-1.09869089761554,0.058746058985513036
-1.0720925124080032,0.0675300315281159
-1.0454941272004663,0.07705930478509
-1.0188957419929294,0.08754838967154888
-0.9922973567853925,0.09876082531827435
-0.9656989715778558,0.11081035239653592
-0.9391005863703189,0.12362214151734048
-0.912502201162782,0.13738176956539092
-0.8859038159552451,0.15167518058825877
-0.8593054307477083,0.16663906293650477
-0.8327070455401715,0.18239214590733127
-0.8061086603326346,0.19875982759308775
-0.7795102751250977,0.21573811709302787
-0.7529118899175609,0.23359240930678052
-0.726313504710024,0.25178792353434165
-0.6997151195024871,0.27041545276768963
-0.6731167342949502,0.28981921219619267
-0.6465183490874133,0.30955920501257134
-0.6199199638798765,0.32990282156682765
-0.5933215786723396,0.35080915512631206
-0.5667231934648027,0.3720407470966198
-0.5401248082572658,0.39360158837849707
-0.513526423049729,0.4157361216426548
-0.4869280378421921,0.4380911521730455
-0.4603296526346552,0.461178512990382
-0.4337312674271183,0.4843985712575329
-0.40713288221958144,0.5078790357983798
-0.38053449701204456,0.5314802250868021
-0.3539361118045077,0.5557688470287745
-0.3273377265969708,0.5795316677974219
-0.3007393413894339,0.6033553498024504
-0.27414095618189704,0.6270732729377021
-0.24754257097436017,0.6507333280121324
-0.2209441857668233,0.6740371951949555
-0.1943458005592864,0.6970607016003513
-0.16774741535174953,0.7196950951829829
-0.14114903014421265,0.7418884942331485
-0.11455064493667577,0.7631799497146506
-0.08795225972913889,0.7836283274134973
-0.061353874521602014,0.8036696332362215
-0.034755489314065136,0.8225545755677057
-0.008157104106528257,0.8405435606816459
0.018441281101008622,0.8578411222412899
0.0450396663085455,0.8739553817296565
0.07163805151608238,0.8891706908249193
0.09823643672361926,0.9031917228718522
0.12483482193115614,0.9162848704952709
0.15143320713869302,0.9281268707347249
0.17803159234622978,0.9389382208564474
0.20462997755376655,0.9485453166779744
0.23122836276130343,0.9573213074190846
0.2578267479688403,0.9650427026379855
0.2844251331763772,0.9718112703037077
0.31102351838391407,0.9775721355309895
0.33762190359145094,0.9823731891287866
0.3642202887989878,0.9864219579359064
0.3908186740065247,0.9897453805323864
0.4174170592140616,0.9925120724747578
0.44401544442159846,0.994634233946602
0.47061382962913534,0.9962794827792635
0.4972122148366722,0.99750967793431
0.5238106000442091,0.9983597397932715
0.550408985251746,0.9989982839126793
0.5770073704592829,0.9994103444147346
0.6036057556668197,0.9996677575128708
0.6302041408743566,0.9998134253901108
0.6568025260818935,0.9999052161072757
0.6834009112894304,0.9999590932673507
0.7099992964969672,0.999989025022948
0.7365976817045041,0.9999940136488809
0.763196066912041,0.9999980045496272
0.7897944521195779,0.9999990022748138
0.8163928373271148,1.0000000000000002
