log_A_evap_MT,probability density
-1.8168472982190358,7.502148561198339e-05
-1.790248913011499,0.00011253222841797509
-1.763650527803962,0.00037510742805991695
-1.7370521425964252,0.000487639656477892
-1.7104537573888883,0.0005626611420898755
-1.6838553721813514,0.0016504726834636345
-1.6572569869738145,0.002288155311165493
-1.6306586017662776,0.0034134775953452443
-1.6040602165587408,0.0063018047914066054
-1.5774618313512039,0.008064809703288215
-1.550863446143667,0.010915626156543583
-1.5242650609361301,0.016692280548666307
-1.4976666757285932,0.022056316769923118
-1.4710682905210564,0.029858551273569386
-1.4444699053135195,0.037323189091961737
-1.4178715201059826,0.04688842850748962
-1.3912731348984457,0.06001718848958672
-1.3646747496909089,0.07172054024505613
-1.338076364483372,0.09085101907611189
-1.311477979275835,0.10900621859421186
-1.2848795940682982,0.1282117189108796
-1.2582812088607613,0.15206855133549033
-1.2316828236532245,0.17018624011078431
-1.2050844384456876,0.19355543287891713
-1.1784860532381507,0.21696213638985595
-1.1518876680306138,0.24858369257530696
-1.125289282823077,0.27390344396935135
-1.09869089761554,0.3065002794677581
-1.0720925124080032,0.3302445796639509
-1.0454941272004663,0.35826510454002664
-1.0188957419929294,0.39435043911939066
-0.9922973567853925,0.42154572765373644
-0.9656989715778558,0.4530172408679617
-0.9391005863703189,0.48167544837173937
-0.912502201162782,0.5173106540374315
-0.8859038159552451,0.537378901438637
-0.8593054307477083,0.5625861206042635
-0.8327070455401715,0.5922571181638054
-0.8061086603326346,0.6153637357322937
-0.7795102751250977,0.6383203103295607
-0.7529118899175609,0.6712547425132214
-0.726313504710024,0.6840834165528705
-0.6997151195024871,0.700325568187865
-0.6731167342949502,0.7295089260909265
-0.6465183490874133,0.7421500464165457
-0.6199199638798765,0.7648440458141706
-0.5933215786723396,0.78600010475675
-0.5667231934648027,0.7982286069115033
-0.5401248082572658,0.8106071520374806
-0.513526423049729,0.8321758291509258
-0.4869280378421921,0.8404657033110499
-0.4603296526346552,0.8679985885306478
-0.4337312674271183,0.8729875173238447
-0.40713288221958144,0.8827778211962085
-0.38053449701204456,0.8873166210757336
-0.3539361118045077,0.9131615228690618
-0.3273377265969708,0.8933933614103042
-0.3007393413894339,0.8956815167214697
-0.27414095618189704,0.8917053779840346
-0.24754257097436017,0.889529754901287
-0.2209441857668233,0.876138419719548
-0.1943458005592864,0.8655979009910644
-0.16774741535174953,0.8509687112967276
-0.14114903014421265,0.8343889629764792
-0.11455064493667577,0.8004792514798628
-0.08795225972913889,0.7687826738087997
-0.061353874521602014,0.7534782907439551
-0.034755489314065136,0.7100033398318109
-0.008157104106528257,0.6763186927920303
0.018441281101008622,0.6503237480274779
0.0450396663085455,0.605836007059572
0.07163805151608238,0.5720388277913734
0.09823643672361926,0.5271384686526013
0.12483482193115614,0.49225347784302903
0.15143320713869302,0.44521500636431544
0.17803159234622978,0.4064664090457294
0.20462997755376655,0.36119094247889405
0.23122836276130343,0.329944493721503
0.2578267479688403,0.2902956385755697
0.2844251331763772,0.25447287919584766
0.31102351838391407,0.21658702896179605
0.33762190359145094,0.18050169438243202
0.3642202887989878,0.1522185943067143
0.3908186740065247,0.12494828428675833
0.4174170592140616,0.10401728980101498
0.44401544442159846,0.07978534994834434
0.47061382962913534,0.061855214887080304
0.4972122148366722,0.04625074587978776
0.5238106000442091,0.03195915287070492
0.550408985251746,0.024006875395834685
0.5770073704592829,0.01549193677887457
0.6036057556668197,0.009677771643945857
0.6302041408743566,0.005476568449674788
0.6568025260818935,0.003450988338151236
0.6834009112894304,0.0020255801115235516
0.7099992964969672,0.001125322284179751
0.7365976817045041,0.00018755371402995848
0.763196066912041,0.00015004297122396678
0.7897944521195779,3.7510742805991695e-05
0.8163928373271148,3.751074280599154e-05
